customer_city,total_price
ariranha,647.27
armacao dos buzios,5824.89
armazem,289.35
arneiroz,462.53
aroeiras,167.48000000000002
arraial d ajuda,90.7
arraial d'ajuda,1045.68
arraial do cabo,6531.58
arraias,254.23000000000002
arroio do meio,1749.34
arroio do sal,1330.31
arroio do tigre,319.0
arroio dos ratos,1226.52
arroio grande,457.84000000000003
arroio trinta,185.84
arrozal,912.81
artur nogueira,8643.73
aruana,180.31
aruja,9349.07
arvoredo,49.4
arvorezinha,328.79
ascurra,716.85
assai,1019.8
assare,118.25999999999999
assis,14238.19
assis chateaubriand,1526.6299999999999
assuncao,132.69
astolfo dutra,1509.69
astorga,601.37
atalaia,137.65
atalanta,351.0
ataleia,200.69
atibaia,35292.520000000004
atilio vivacqua,107.78
augustinopolis,144.89
augusto correa,440.0
augusto pestana,143.95
aurea,451.5
auriflama,2070.5299999999997
aurilandia,176.2
aurora,870.17
aurora do para,115.46000000000001
avai,227.96
avanhandava,905.33
avare,9880.16
avelar,824.24
avelino lopes,142.72
azurita,220.85000000000002
bacabal,3883.5
bacaxa,72.50999999999999
bacuri,444.21000000000004
bady bassitt,705.7
baependi,1587.39
bage,10791.9
baguari,64.1
baianopolis,493.28
baixa grande,66.24
baixa grande do ribeiro,213.47
baixo guandu,1617.17
balbinos,69.29
baldim,699.0400000000001
balneario arroio do silva,450.66999999999996
balneario barra do sul,482.62
balneario camboriu,19614.87
balneario gaivota,329.12
balneario picarras,1783.26
balneario pinhal,1043.94
balneario rincao,740.0
balsa nova,33.97
balsamo,1383.48
balsas,6607.74
bambui,2558.6800000000003
banabuiu,139.61
bananal,855.71
bananeiras,761.52
bandeira,419.21
bandeira do sul,466.3
bandeirantes,2113.63
bandeirantes d'oeste,65.09
bandeirantes do tocantins,432.2
banzae,127.41999999999999
barao,57.53
barao ataliba nogueira,1351.51
barao de cocais,2452.94
barao de cotegipe,154.70999999999998
barao de juparana,46.72
barao do triunfo,99.13999999999999
barauna,288.37
barbacena,14527.05
barbalha,1515.4099999999999
barbosa ferraz,562.57
barcarena,1323.67
bariri,3134.96
barra,194.83999999999997
barra bonita,4682.95
barra da estiva,1124.64
barra de guabiraba,565.8
barra de santa rosa,472.32
barra de santo antonio,629.12
barra de sao francisco,1086.01
barra de sao joao,2877.3399999999997
barra de sao miguel,226.64000000000001
barra do bugres,943.6500000000001
barra do choca,877.49
barra do corda,1475.84
barra do garcas,4986.08
barra do jacare,71.42999999999999
barra do mendes,383.28
barra do pirai,6638.32
barra do ribeiro,1045.4199999999998
barra do rio azul,148.71
barra do tarrachil,359.94
barra do turvo,380.5
barra dos coqueiros,629.46
barra longa,1341.55
